id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_documenso_create_template_wizard,documenso.create.template.wizard,model_documenso_create_template_wizard,base.group_user,1,1,1,1
access_documenso_template_user,documenso.template.user,model_documenso_template,base.group_user,1,0,0,0
access_documenso_template_manager,documenso.template.manager,model_documenso_template,hr.group_hr_manager,1,1,1,1
access_documenso_template_field_user,documenso.template.field.user,model_documenso_template_field,base.group_user,1,0,0,0
access_documenso_template_field_manager,documenso.template.field.manager,model_documenso_template_field,hr.group_hr_manager,1,1,1,1
access_documenso_template_recipient_user,documenso.template.recipient.user,model_documenso_template_recipient,base.group_user,1,0,0,0
access_documenso_template_recipient_manager,documenso.template.recipient.manager,model_documenso_template_recipient,hr.group_hr_manager,1,1,1,1
access_documenso_contract_user,documenso.contract.user,model_documenso_contract,hr.group_hr_user,1,0,0,0
access_documenso_contract_manager,documenso.contract.manager,model_documenso_contract,hr.group_hr_manager,1,1,1,1
access_documenso_contract_field_user,documenso.contract.field.user,model_documenso_contract_field,hr.group_hr_user,1,0,0,0
access_documenso_contract_field_manager,documenso.contract.field.manager,model_documenso_contract_field,hr.group_hr_manager,1,1,1,1
access_documenso_contract_item_user,documenso.contract.item.user,model_documenso_contract_item,hr.group_hr_user,1,0,0,0
access_documenso_contract_item_manager,documenso.contract.item.manager,model_documenso_contract_item,hr.group_hr_manager,1,1,1,1
access_documenso_send_applicant_wizard,documenso.send.applicant.wizard,model_documenso_send_applicant_wizard,hr.group_hr_user,1,1,1,1
access_documenso_bulk_send_job_user,documenso.bulk.send.job.user,model_documenso_bulk_send_job,hr.group_hr_user,1,1,1,0
access_documenso_bulk_send_job_manager,documenso.bulk.send.job.manager,model_documenso_bulk_send_job,hr.group_hr_manager,1,1,1,1
