id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_etp_external_project_api_map_user,etp.external.project.api.map.user,model_etp_external_project_api_map,,1,1,1,1
access_etp_external_project_api_map_manager,etp.external.project.api.map.manager,model_etp_external_project_api_map,,1,1,1,1
access_etp_project_aws_budget,etp.project.aws.budget,model_etp_project_aws_budget,,1,1,1,1
access_etp_project_aws_budget_tag_line,etp.project.aws.budget.tag.line,model_etp_project_aws_budget_tag_line,,1,1,1,1
access_etp_project_aws_cost_line,etp.project.aws.cost.line,model_etp_project_aws_cost_line,,1,1,1,1
access_etp_project_aws_cost_fetch_log,etp.project.aws.cost.fetch.log,model_etp_project_aws_cost_fetch_log,,1,1,1,1
access_etp_project_team_csv_import_user,etp.project.team.csv.import.user,model_etp_project_team_csv_import,base.group_user,1,1,1,1
access_etp_ai_model,etp.ai.model,model_etp_ai_model,,1,1,1,1
access_etp_infra_type,etp.infra.type,model_etp_infra_type,,1,1,1,1
access_etp_aws_pricing_item,etp.aws.pricing.item,model_etp_aws_pricing_item,,1,1,1,1
access_etp_aws_pricing_sku,etp.aws.pricing.sku,model_etp_aws_pricing_sku,,1,1,1,1
access_etp_aws_pricing_sync_log,etp.aws.pricing.sync.log,model_etp_aws_pricing_sync_log,,1,1,1,1
access_etp_aws_credentials_admin,etp.aws.credentials.admin,model_etp_aws_credentials,base.group_system,1,1,1,1
access_etp_subscription,etp.subscription,model_etp_subscription,,1,1,1,1
access_etp_project_budget_model_line,etp.project.budget.model.line,model_etp_project_budget_model_line,,1,1,1,1
access_etp_project_budget_infra_line,etp.project.budget.infra.line,model_etp_project_budget_infra_line,,1,1,1,1
access_etp_project_budget_subscription_line,etp.project.budget.subscription.line,model_etp_project_budget_subscription_line,,1,1,1,1
access_etp_project_budget_monthly_cost,etp.project.budget.monthly.cost,model_etp_project_budget_monthly_cost,,1,1,1,1
access_etp_batch_budget,etp.batch.budget,model_etp_batch_budget,,1,1,1,1
access_etp_batch_budget_model_line,etp.batch.budget.model.line,model_etp_batch_budget_model_line,,1,1,1,1
access_etp_batch_budget_connected_record,etp.batch.budget.connected.record,model_etp_batch_budget_connected_record,,1,1,1,1
access_etp_batch_budget_daily_task,etp.batch.budget.daily.task,model_etp_batch_budget_daily_task,,1,1,1,1
access_etp_batch_budget_daily_task_model,etp.batch.budget.daily.task.model,model_etp_batch_budget_daily_task_model,,1,1,1,1
access_etp_batch_budget_info_link,etp.batch.budget.info.link,model_etp_batch_budget_info_link,,1,1,1,1
access_etp_batch_budget_feedback,etp.batch.budget.feedback,model_etp_batch_budget_feedback,,1,1,1,1
access_etp_batch_budget_daily_task_wizard,etp.batch.budget.daily.task.wizard,model_etp_batch_budget_daily_task_wizard,,1,1,1,1
access_etp_batch_budget_infra_line,etp.batch.budget.infra.line,model_etp_batch_budget_infra_line,,1,1,1,1
access_etp_batch_budget_subscription_line,etp.batch.budget.subscription.line,model_etp_batch_budget_subscription_line,,1,1,1,1
access_etp_batch_budget_topup_reason,etp.batch.budget.topup.reason,model_etp_batch_budget_topup_reason,,1,1,1,1
access_etp_batch_budget_request,etp.batch.budget.request,model_etp_batch_budget_request,,1,1,1,1
access_etp_batch_budget_request_model_line,etp.batch.budget.request.model.line,model_etp_batch_budget_request_model_line,,1,1,1,1
access_etp_batch_budget_request_infra_line,etp.batch.budget.request.infra.line,model_etp_batch_budget_request_infra_line,,1,1,1,1
access_etp_batch_budget_request_subscription_line,etp.batch.budget.request.subscription.line,model_etp_batch_budget_request_subscription_line,,1,1,1,1
access_etp_batch_budget_request_review_wizard,etp.batch.budget.request.review.wizard,model_etp_batch_budget_request_review_wizard,,1,1,1,1
access_etp_batch_budget_request_wizard,etp.batch.budget.request.wizard,model_etp_batch_budget_request_wizard,,1,1,1,1
access_etp_batch_budget_request_wizard_model_line,etp.batch.budget.request.wizard.model.line,model_etp_batch_budget_request_wizard_model_line,,1,1,1,1
access_etp_batch_budget_request_wizard_infra_line,etp.batch.budget.request.wizard.infra.line,model_etp_batch_budget_request_wizard_infra_line,,1,1,1,1
access_etp_batch_budget_request_wizard_subscription_line,etp.batch.budget.request.wizard.subscription.line,model_etp_batch_budget_request_wizard_subscription_line,,1,1,1,1
access_etp_project_budget_topup,etp.project.budget.topup,model_etp_project_budget_topup,,1,1,1,1
access_etp_project_budget_topup_reject_wizard,etp.project.budget.topup.reject.wizard,model_etp_project_budget_topup_reject_wizard,,1,1,1,1
access_etp_project_budget_dashboard,etp.project.budget.dashboard,model_etp_project_budget_dashboard,,1,1,1,1
