pin_id,board_id,board_section_id,title,description,link,media_type,created_at,updated_at,dominant_color,alt_text,is_promoted,pin_metrics_impressions,pin_metrics_saves,pin_metrics_clicks
pin_3001,board_1001,,Paphiopedilum Show Display Setup,Elegant arrangement ideas for slipper orchids on competition tables. Moss bases and accent lighting. #orchidshow #paphiopedilum #orchiddisplay,https://www.aos.org/orchids/orchid-shows.aspx,image,2025-11-10T09:00:00,2026-05-10T14:00:00,#4A6741,Three Paphiopedilum orchids arranged on moss-covered display stands with soft lighting,true,4820,385,245
pin_3002,board_1001,,Orchid Society Judging Table Layout,How regional shows set up judging tables. Tips on spacing labels and presentation standards. #orchidsociety #orchidshow,https://www.aos.org/orchids/orchid-judging.aspx,image,2025-12-05T11:30:00,2026-04-18T10:00:00,#E8DFD6,A long judging table with numbered orchid entries and AOS scoring cards,false,2340,178,112
pin_3003,board_1001,,Greenhouse to Show Floor Transport Tips,How to safely transport orchids from greenhouse to show venue. Packing materials and temperature management. #orchidtransport #greenhouse,https://www.orchidweb.com/articles/transporting-orchids,image,2026-01-15T14:00:00,2026-05-01T09:30:00,#8B6F4E,Orchid plants secured in cardboard dividers inside a plastic tote for transport,false,3150,267,189
pin_3004,board_1002,section_2001,Phalaenopsis Watering Schedule by Season,Seasonal watering guide for moth orchids. Includes ice cube method debunk and proper soak technique. #phalaenopsis #orchidcare #watering,https://www.orchidbliss.com/watering-phalaenopsis/,image,2023-02-20T08:45:00,2026-04-05T11:20:00,#5B9E7A,Infographic showing monthly watering frequency chart for Phalaenopsis orchids,false,4650,412,278
pin_3005,board_1002,section_2002,Cattleya Light Requirements Guide,Understanding foot-candles and light exposure for Cattleya blooming. South-facing window vs grow light comparison. #cattleya #orchidlighting,https://www.orchidsmadeeasy.com/cattleya-light/,image,2023-05-12T10:00:00,2026-04-20T16:00:00,#F5E6D0,Side by side comparison of a Cattleya orchid under natural light and under LED grow lights,true,5230,456,312
pin_3006,board_1002,section_2003,Repotting Paphiopedilum Step by Step,Complete visual guide to repotting slipper orchids. Medium selection root trimming and pot sizing. #paphiopedilum #repotting #orchidcare,https://www.orchidweb.com/articles/repotting-paphiopedilum,video,2023-09-08T13:00:00,2026-03-15T14:45:00,#6B4E3D,Hands removing a Paphiopedilum from its pot showing healthy white roots and old bark medium,false,3890,342,198
pin_3007,board_1002,section_2001,Root Health Check Visual Guide,How to tell healthy orchid roots from dehydrated or rotted ones. Color and texture indicators. #orchidroots #orchidhealth,https://www.orchidbliss.com/orchid-root-health/,image,2024-01-15T09:20:00,2026-04-10T12:00:00,#C9B99A,Close-up of orchid roots showing green healthy roots versus brown mushy roots,false,2780,234,156
pin_3008,board_1003,section_2004,Lemon-Elderflower Macaron Color Palette,Lemon-elderflower color palette and good packaging idea for spring macaron gift boxes. #macarons #springbaking #lemonelderflower,https://www.sallysbakingaddiction.com/lemon-macarons/,image,2026-03-01T11:05:00,2026-04-02T08:00:00,#FFF5E6,Pale yellow macarons arranged in a white gift box with dried elderflowers and a lemon slice,false,1560,124,78
pin_3009,board_1003,section_2005,Almond Flour Texture Close-Up,Almond flour texture close-up useful for recipe step documentation. Blanched vs unblanched comparison. #almondflour #macarontips #bakingtips,https://www.sallysbakingaddiction.com/macaron-tips/,image,2026-03-02T09:30:00,2026-03-28T10:00:00,#F0E6D3,Macro photo of finely sifted blanched almond flour next to coarser unblanched flour,false,980,67,42
pin_3010,board_1003,section_2004,Spring Macaron Tower Display Ideas,Beautiful tiered tower displays for spring macaron collections. Color coordination and height arrangements. #macarontower #springdessert,https://www.pinterest.com/ideas/macaron-tower/,image,2026-03-15T14:30:00,2026-04-08T11:00:00,#E8C4D0,A three-tier macaron tower in pastel pink lavender and mint green on a marble stand,false,1890,145,89
