courseId,userId,fullName,emailAddress,photoUrl
course_001,student_001,Ethan Nakamura,enakamura@westlake.edu,https://lh3.googleusercontent.com/a/student001
course_001,student_002,Sofia Patel,spatel@westlake.edu,https://lh3.googleusercontent.com/a/student002
course_001,student_003,Marcus Johnson,mjohnson@westlake.edu,https://lh3.googleusercontent.com/a/student003
course_001,student_004,Olivia Kim,okim@westlake.edu,https://lh3.googleusercontent.com/a/student004
course_001,student_005,Liam O'Brien,lobrien@westlake.edu,https://lh3.googleusercontent.com/a/student005
course_001,student_006,Aisha Rahman,arahman@westlake.edu,https://lh3.googleusercontent.com/a/student006
course_001,student_007,Diego Herrera,dherrera@westlake.edu,https://lh3.googleusercontent.com/a/student007
course_001,student_008,Emma Wilson,ewilson@westlake.edu,https://lh3.googleusercontent.com/a/student008
course_001,student_009,Ryan Choi,rchoi@westlake.edu,https://lh3.googleusercontent.com/a/student009
course_001,student_030,Zoe Martinez,zmartinez@westlake.edu,https://lh3.googleusercontent.com/a/student030
course_001,student_031,Noah Thompson,nthompson@westlake.edu,https://lh3.googleusercontent.com/a/student031
course_001,student_032,Ava Chen,achen@westlake.edu,https://lh3.googleusercontent.com/a/student032
course_001,student_033,Jackson Lee,jlee@westlake.edu,https://lh3.googleusercontent.com/a/student033
course_001,student_034,Isabella Brown,ibrown@westlake.edu,https://lh3.googleusercontent.com/a/student034
course_001,student_035,Lucas Davis,ldavis@westlake.edu,https://lh3.googleusercontent.com/a/student035
course_001,student_036,Mia Garcia,mgarcia@westlake.edu,https://lh3.googleusercontent.com/a/student036
course_001,student_037,Benjamin White,bwhite@westlake.edu,https://lh3.googleusercontent.com/a/student037
course_001,student_038,Charlotte Harris,charris@westlake.edu,https://lh3.googleusercontent.com/a/student038
course_001,student_039,Alexander Clark,aclark@westlake.edu,https://lh3.googleusercontent.com/a/student039
course_001,student_040,Amelia Lewis,alewis@westlake.edu,https://lh3.googleusercontent.com/a/student040
course_001,student_041,Daniel Robinson,drobinson@westlake.edu,https://lh3.googleusercontent.com/a/student041
course_001,student_042,Harper Walker,hwalker@westlake.edu,https://lh3.googleusercontent.com/a/student042
course_001,student_043,Matthew Young,myoung@westlake.edu,https://lh3.googleusercontent.com/a/student043
course_001,student_044,Evelyn Hall,ehall@westlake.edu,https://lh3.googleusercontent.com/a/student044
course_001,student_045,James Allen,jallen@westlake.edu,https://lh3.googleusercontent.com/a/student045
course_001,student_046,Abigail King,aking@westlake.edu,https://lh3.googleusercontent.com/a/student046
course_001,student_047,Henry Wright,hwright@westlake.edu,https://lh3.googleusercontent.com/a/student047
course_001,student_048,Emily Scott,escott@westlake.edu,https://lh3.googleusercontent.com/a/student048
course_002,student_010,Jordan Williams,jwilliams@westlake.edu,https://lh3.googleusercontent.com/a/student010
course_002,student_011,Priya Sharma,psharma@westlake.edu,https://lh3.googleusercontent.com/a/student011
course_002,student_012,Tyler Anderson,tanderson@westlake.edu,https://lh3.googleusercontent.com/a/student012
course_002,student_013,Maya Okafor,mokafor@westlake.edu,https://lh3.googleusercontent.com/a/student013
course_002,student_014,Kevin Tran,ktran@westlake.edu,https://lh3.googleusercontent.com/a/student014
course_002,student_015,Samantha Brooks,sbrooks@westlake.edu,https://lh3.googleusercontent.com/a/student015
course_002,student_016,Chris Martinez,cmartinez@westlake.edu,https://lh3.googleusercontent.com/a/student016
course_002,student_017,Jade Liu,jliu@westlake.edu,https://lh3.googleusercontent.com/a/student017
course_002,student_018,Brandon Foster,bfoster@westlake.edu,https://lh3.googleusercontent.com/a/student018
course_002,student_019,Aaliyah Jackson,ajackson@westlake.edu,https://lh3.googleusercontent.com/a/student019
course_002,student_050,Rachel Green,rgreen@westlake.edu,https://lh3.googleusercontent.com/a/student050
course_002,student_051,David Park,dpark@westlake.edu,https://lh3.googleusercontent.com/a/student051
course_002,student_052,Grace Nguyen,gnguyen@westlake.edu,https://lh3.googleusercontent.com/a/student052
course_002,student_053,Owen Phillips,ophillips@westlake.edu,https://lh3.googleusercontent.com/a/student053
course_002,student_054,Lily Campbell,lcampbell@westlake.edu,https://lh3.googleusercontent.com/a/student054
course_002,student_055,Jack Roberts,jroberts@westlake.edu,https://lh3.googleusercontent.com/a/student055
course_002,student_056,Chloe Evans,cevans@westlake.edu,https://lh3.googleusercontent.com/a/student056
course_002,student_057,Andrew Turner,aturner@westlake.edu,https://lh3.googleusercontent.com/a/student057
course_002,student_058,Sofia Mitchell,smitchell@westlake.edu,https://lh3.googleusercontent.com/a/student058
course_002,student_059,Nathan Collins,ncollins@westlake.edu,https://lh3.googleusercontent.com/a/student059
course_002,student_060,Ella Stewart,estewart@westlake.edu,https://lh3.googleusercontent.com/a/student060
course_002,student_061,Isaac Morris,imorris@westlake.edu,https://lh3.googleusercontent.com/a/student061
course_002,student_062,Victoria Reed,vreed@westlake.edu,https://lh3.googleusercontent.com/a/student062
course_002,student_063,Dylan Baker,dbaker@westlake.edu,https://lh3.googleusercontent.com/a/student063
course_002,student_064,Aria Adams,aadams@westlake.edu,https://lh3.googleusercontent.com/a/student064
course_002,student_065,Connor Nelson,cnelson@westlake.edu,https://lh3.googleusercontent.com/a/student065
course_002,student_066,Scarlett Hill,shill@westlake.edu,https://lh3.googleusercontent.com/a/student066
course_002,student_067,Luke Rivera,lrivera@westlake.edu,https://lh3.googleusercontent.com/a/student067
course_002,student_068,Penelope Cooper,pcooper@westlake.edu,https://lh3.googleusercontent.com/a/student068
course_002,student_069,Sebastian Howard,showard@westlake.edu,https://lh3.googleusercontent.com/a/student069
course_002,student_070,Layla Ward,lward@westlake.edu,https://lh3.googleusercontent.com/a/student070
course_002,student_071,Caleb Cox,ccox@westlake.edu,https://lh3.googleusercontent.com/a/student071
